All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position	Product	Regulation - transcription factor regulators of gene	Common-Name
XNR_RS22520	XNR_RS22520	XNR_RS22520	5165123	5165731	VTT domain-containing protein		
XNR_RS22525	XNR_RS22525	XNR_RS22525	5165988	5166629	superoxide dismutase family protein		
XNR_RS22530	XNR_RS22530	XNR_RS22530	5166697	5167146	DoxX family protein		
XNR_RS22535	XNR_RS22535	XNR_RS22535	5167799	5169466	alkaline phosphatase family protein		
XNR_RS22540	XNR_RS22540	XNR_RS22540	5169603	5170256	HNH endonuclease		
XNR_RS22545	XNR_RS22545	XNR_RS22545	5170639	5171052	SgcJ/EcaC family oxidoreductase		
XNR_RS22550	XNR_RS22550	XNR_RS22550	5171233	5171898	HAD-IA family hydrolase		
XNR_RS22555	XNR_RS22555	XNR_RS22555	5171950	5173035	peptidoglycan-binding protein		
XNR_RS22560	XNR_RS22560	XNR_RS22560	5173244	5175292	MFS transporter		
XNR_RS22565	XNR_RS22565	XNR_RS22565	5175310	5175858	GNAT family N-acetyltransferase		
XNR_RS22570	XNR_RS22570	XNR_RS22570	5175985	5176341	antibiotic biosynthesis monooxygenase		
XNR_RS22575	XNR_RS22575	XNR_RS22575	5176670	5177761	proteinase inhibitor		
XNR_RS22580	XNR_RS22580	XNR_RS22580	5177913	5180018	phosphatase PAP2 family protein		
XNR_RS22585	XNR_RS22585	XNR_RS22585	5180188	5180592	transglycosylase SLT domain-containing protein		
XNR_RS22590	XNR_RS22595 // XNR_RS22590	XNR_RS22590	5180915	5181916	ECF transporter S component		
XNR_RS22595	XNR_RS22595 // XNR_RS22590	XNR_RS22595	5181913	5183700	energy-coupling factor ABC transporter ATP-binding protein		
XNR_RS22600	XNR_RS22610 // XNR_RS22605 // XNR_RS22600	XNR_RS22600	5183765	5184898	hypothetical protein		
XNR_RS22605	XNR_RS22610 // XNR_RS22605 // XNR_RS22600	XNR_RS22605	5184912	5185619	hypothetical protein		
XNR_RS22610	XNR_RS22610 // XNR_RS22605 // XNR_RS22600	XNR_RS22610	5185616	5186848	terpene cyclase/mutase family protein		
XNR_RS22615	XNR_RS22625 // XNR_RS22620 // XNR_RS22615	XNR_RS22615	5187328	5188722	glycosyltransferase		
XNR_RS22620	XNR_RS22625 // XNR_RS22620 // XNR_RS22615	XNR_RS22620	5188716	5189450	class I SAM-dependent methyltransferase		
XNR_RS22625	XNR_RS22625 // XNR_RS22620 // XNR_RS22615	XNR_RS22625	5189447	5190514	hypothetical protein		
XNR_RS22630	XNR_RS22630	XNR_RS22630	5190597	5191469	hypothetical protein		
XNR_RS22635	XNR_RS22635	XNR_RS22635	5191662	5192564	N-acetylmuramoyl-L-alanine amidase		
XNR_RS22640	XNR_RS22640	XNR_RS22640	5192635	5193300	class I SAM-dependent methyltransferase		
XNR_RS22645	XNR_RS22645	XNR_RS22645	5193393	5195159	MFS transporter		
XNR_RS22650	XNR_RS22650	XNR_RS22650	5195484	5196707	CoA transferase		
XNR_RS22655	XNR_RS22655	XNR_RS22655	5196776	5197969	acyl-CoA dehydrogenase family protein		
XNR_RS22660	XNR_RS22660	XNR_RS22660	5198363	5199334	glycerophosphoryl diester phosphodiesterase membrane domain-containing protein		
XNR_RS22665	XNR_RS22665	XNR_RS22665	5199499	5201049	MFS transporter		
XNR_RS22670	XNR_RS22680 // XNR_RS22675 // XNR_RS22670	XNR_RS22670	5201138	5201779	response regulator transcription factor		
XNR_RS22675	XNR_RS22680 // XNR_RS22675 // XNR_RS22670	XNR_RS22675	5201776	5202282	VOC family protein		
XNR_RS22680	XNR_RS22680 // XNR_RS22675 // XNR_RS22670	XNR_RS22680	5202279	5203517	sensor histidine kinase		
XNR_RS22685	XNR_RS22690 // XNR_RS22685	XNR_RS22685	5203562	5204287	ABC transporter permease		
XNR_RS22690	XNR_RS22690 // XNR_RS22685	XNR_RS22690	5204284	5205204	ABC transporter ATP-binding protein		
XNR_RS22695	XNR_RS22695	XNR_RS22695	5205670	5206779	hypothetical protein		
XNR_RS22700	XNR_RS22705 // XNR_RS22700	XNR_RS22700	5207804	5208649	hypothetical protein		
XNR_RS22705	XNR_RS22705 // XNR_RS22700	XNR_RS22705	5208649	5209758	bifunctional RNase H/acid phosphatase		
XNR_RS22720	XNR_RS22730 // XNR_RS22725 // XNR_RS22720	XNR_RS22720	5212372	5213196	polyphosphate polymerase domain-containing protein		
XNR_RS22725	XNR_RS22730 // XNR_RS22725 // XNR_RS22720	XNR_RS22725	5213193	5213876	DUF4956 domain-containing protein		
XNR_RS22730	XNR_RS22730 // XNR_RS22725 // XNR_RS22720	XNR_RS22730	5213876	5215549	CotH kinase family protein		
XNR_RS22735	XNR_RS22735	XNR_RS22735	5215617	5215886	hypothetical protein		
XNR_RS22740	XNR_RS22740	XNR_RS22740	5216004	5216837	hypothetical protein		
XNR_RS22745	XNR_RS22750 // XNR_RS22745	XNR_RS22745	5216934	5217500	NAD(P)H-dependent oxidoreductase		
XNR_RS22750	XNR_RS22750 // XNR_RS22745	XNR_RS22750	5217504	5217845	helix-turn-helix transcriptional regulator		
XNR_RS22755	XNR_RS22755	XNR_RS22755	5217917	5218912	nitroreductase family protein		
XNR_RS22760	XNR_RS22760	XNR_RS22760	5218977	5219222	hypothetical protein		
XNR_RS22765	XNR_RS22765	XNR_RS22765	5219227	5221107	propionyl-CoA synthetase		
XNR_RS22770	XNR_RS22770	XNR_RS22770	5221334	5222128	class I SAM-dependent methyltransferase		
XNR_RS22775	XNR_RS22775	XNR_RS22775	5222190	5223104	PhzF family phenazine biosynthesis isomerase		
XNR_RS22780	XNR_RS22780	XNR_RS22780	5223192	5223656	lamin tail domain-containing protein		
XNR_RS22785	XNR_RS22790 // XNR_RS22785	XNR_RS22785	5223791	5224570	SDR family oxidoreductase		
XNR_RS22790	XNR_RS22790 // XNR_RS22785	XNR_RS22790	5224604	5226409	hypothetical protein		
XNR_RS22795	XNR_RS22795	XNR_RS22795	5226545	5227954	glutamate decarboxylase		
XNR_RS22800	XNR_RS22800	XNR_RS22800	5228074	5229087	Gfo/Idh/MocA family oxidoreductase		
XNR_RS22805	XNR_RS22805	XNR_RS22805	5229325	5230680	multidrug effflux MFS transporter		
XNR_RS22810	XNR_RS22810	XNR_RS22810	5230806	5231819	serine hydrolase		
XNR_RS22815	XNR_RS22815	XNR_RS22815	5231869	5232900	rRNA methyltransferase		
XNR_RS22820	XNR_RS22820	XNR_RS22820	5232924	5233739	amidinotransferase		
XNR_RS22825	XNR_RS22825	XNR_RS22825	5233916	5234542	TetR/AcrR family transcriptional regulator		
XNR_RS22830	XNR_RS22830	XNR_RS22830	5234706	5235434	bifunctional DNA primase/polymerase		
XNR_RS22835	XNR_RS22835	XNR_RS22835	5235526	5236500	hypothetical protein		
XNR_RS22840	XNR_RS22850 // XNR_RS22845 // XNR_RS22840	XNR_RS22840	5236646	5237491	heme ABC transporter ATP-binding protein		
XNR_RS22845	XNR_RS22850 // XNR_RS22845 // XNR_RS22840	XNR_RS22845	5237488	5238603	iron ABC transporter permease		
XNR_RS22850	XNR_RS22850 // XNR_RS22845 // XNR_RS22840	XNR_RS22850	5238600	5239637	ABC transporter substrate-binding protein		
XNR_RS22855	XNR_RS22855	XNR_RS22855	5239747	5241186	HtaA domain-containing protein		
XNR_RS22860	XNR_RS22860	XNR_RS22860	5241318	5242862	HtaA domain-containing protein		
XNR_RS22865	XNR_RS22865	XNR_RS22865	5243036	5243692	PhzF family phenazine biosynthesis protein		
XNR_RS22870	XNR_RS22870	XNR_RS22870	5243784	5244446	biliverdin-producing heme oxygenase		
XNR_RS22880	XNR_RS22880	XNR_RS22880	5245595	5245849	hypothetical protein		
XNR_RS22890	XNR_RS22890	XNR_RS22890	5246755	5246949	hypothetical protein		
XNR_RS22895	XNR_RS22895	XNR_RS22895	5246956	5247756	site-2 protease family protein		
XNR_RS22905	XNR_RS22905	XNR_RS22905	5249186	5250211	endonuclease/exonuclease/phosphatase family protein		
XNR_RS22910	XNR_RS22910	XNR_RS22910	5250351	5251079	C39 family peptidase		
XNR_RS22915	XNR_RS22915	XNR_RS22915	5251168	5252925	NAD+ synthase		
XNR_RS22920	XNR_RS22920	XNR_RS22920	5253030	5254649	multicopper oxidase family protein		
XNR_RS22925	XNR_RS22925	XNR_RS22925	5254744	5255226	hypothetical protein		
XNR_RS22930	XNR_RS22935 // XNR_RS22930	XNR_RS22930	5255290	5255913	DUF305 domain-containing protein		
XNR_RS22935	XNR_RS22935 // XNR_RS22930	XNR_RS22935	5255910	5256578	DUF3105 domain-containing protein		
XNR_RS22945	XNR_RS22945	XNR_RS22945	5258455	5259078	TetR family transcriptional regulator		
XNR_RS22950	XNR_RS22950	XNR_RS22950	5259240	5260796	MFS transporter		
XNR_RS22955	XNR_RS22955	XNR_RS22955	5261029	5261613	pyridoxamine 5'-phosphate oxidase family protein		
XNR_RS22960	XNR_RS22960	XNR_RS22960	5261894	5264899	bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase		
XNR_RS22965	XNR_RS22965	XNR_RS22965	5265319	5266239	hypothetical protein		
XNR_RS22970	XNR_RS22970	XNR_RS22970	5266264	5266878	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein		
XNR_RS22975	XNR_RS22980 // XNR_RS22975	XNR_RS22975	5267062	5268549	APC family permease		
XNR_RS22980	XNR_RS22980 // XNR_RS22975	XNR_RS22980	5268581	5270161	amidohydrolase		
XNR_RS22985	XNR_RS22985	XNR_RS22985	5270180	5270593	hypothetical protein		
XNR_RS22990	XNR_RS22990	XNR_RS22990	5270719	5271687	phosphatase PAP2 family protein		
XNR_RS22995	XNR_RS22995	XNR_RS22995	5271816	5272889	LacI family DNA-binding transcriptional regulator		
XNR_RS23000	XNR_RS23000	XNR_RS23000	5273218	5274501	extracellular solute-binding protein		
XNR_RS23005	XNR_RS23010 // XNR_RS23005	XNR_RS23005	5274585	5275595	sugar ABC transporter permease		
XNR_RS23010	XNR_RS23010 // XNR_RS23005	XNR_RS23010	5275592	5276434	carbohydrate ABC transporter permease		
XNR_RS23015	XNR_RS23020 // XNR_RS23015	XNR_RS23015	5276482	5278143	glycoside hydrolase family 13 protein		
XNR_RS23020	XNR_RS23020 // XNR_RS23015	XNR_RS23020	5278128	5279195	LacI family DNA-binding transcriptional regulator		
XNR_RS23025	XNR_RS23025	XNR_RS23025	5279419	5281119	alpha amylase C-terminal domain-containing protein		
XNR_RS23035	XNR_RS23035	XNR_RS23035	5284020	5284499	GNAT family N-acetyltransferase		
XNR_RS23040	XNR_RS23040	XNR_RS23040	5284504	5285259	TetR/AcrR family transcriptional regulator		
XNR_RS23045	XNR_RS23050 // XNR_RS23045	XNR_RS23045	5285444	5286526	oxidoreductase		
XNR_RS23050	XNR_RS23050 // XNR_RS23045	XNR_RS23050	5286526	5287452	metal-dependent hydrolase		
XNR_RS23055	XNR_RS23055	XNR_RS23055	5287645	5288670	reductase		
XNR_RS23060	XNR_RS23060	XNR_RS23060	5288732	5289373	winged helix-turn-helix transcriptional regulator		
XNR_RS23065	XNR_RS23065	XNR_RS23065	5289764	5290783	glutamine synthetase beta-grasp domain-containing protein		
XNR_RS23070	XNR_RS23070	XNR_RS23070	5290900	5294439	NB-ARC domain protein		
XNR_RS23075	XNR_RS23075	XNR_RS23075	5294537	5295454	Gfo/Idh/MocA family oxidoreductase		
XNR_RS23080	XNR_RS23080	XNR_RS23080	5295472	5295846	arsenate reductase family protein		
XNR_RS23085	XNR_RS23085	XNR_RS23085	5296028	5296339	hypothetical protein		
XNR_RS23090	XNR_RS23090	XNR_RS23090	5296407	5297783	NAD-dependent succinate-semialdehyde dehydrogenase		
XNR_RS23105	XNR_RS23105 // scpA // meaB	XNR_RS23105	5301178	5303022	methylmalonyl-CoA mutase small subunit		
XNR_RS23120	XNR_RS23125 // XNR_RS23120 // cobG	XNR_RS23120	5308734	5309360	precorrin-8X methylmutase		
XNR_RS23125	XNR_RS23125 // XNR_RS23120 // cobG	XNR_RS23125	5309357	5310922	precorrin-2 C(20)-methyltransferase		
XNR_RS23130	XNR_RS23140 // cobM // XNR_RS23130	XNR_RS23130	5311044	5311814	cobalt-precorrin-6A reductase		
XNR_RS23140	XNR_RS23140 // cobM // XNR_RS23130	XNR_RS23140	5312615	5313853	bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase		
XNR_RS23145	XNR_RS23145	XNR_RS23145	5313998	5314675	DoxX family membrane protein		
XNR_RS23150	XNR_RS23150	XNR_RS23150	5314811	5316022	cardiolipin synthase B		
XNR_RS23160	XNR_RS23160	XNR_RS23160	5317991	5318848	hypothetical protein		
XNR_RS23165	dhaL // XNR_RS23165	XNR_RS23165	5319208	5320200	dihydroxyacetone kinase subunit DhaK		
XNR_RS23175	XNR_RS23175	XNR_RS23175	5320936	5321673	HAD family phosphatase		
XNR_RS23180	XNR_RS23180	XNR_RS23180	5322199	5322873	TetR/AcrR family transcriptional regulator		
XNR_RS23185	XNR_RS23185	XNR_RS23185	5322910	5323101	hypothetical protein		
XNR_RS23190	XNR_RS23190	XNR_RS23190	5323305	5325887	hypothetical protein		
XNR_RS23200	XNR_RS23200	XNR_RS23200	5327613	5328080	RDD family protein		
XNR_RS23205	XNR_RS23205	XNR_RS23205	5328176	5328874	DUF4191 domain-containing protein		
XNR_RS23210	XNR_RS23210	XNR_RS23210	5328978	5329211	hypothetical protein		
XNR_RS23215	lipB // XNR_RS23215	XNR_RS23215	5329524	5330504	lipoyl synthase		
XNR_RS23225	XNR_RS23225	XNR_RS23225	5331712	5333190	hypothetical protein		
XNR_RS23230	XNR_RS23230	XNR_RS23230	5333234	5333719	GNAT family N-acetyltransferase		
XNR_RS23235	XNR_RS23235	XNR_RS23235	5333779	5334669	TIGR01777 family oxidoreductase		
XNR_RS23240	XNR_RS23240	XNR_RS23240	5334854	5336182	FAD-dependent oxidoreductase		
XNR_RS23245	XNR_RS23245	XNR_RS23245	5336333	5337553	serine/threonine-protein phosphatase		
XNR_RS23250	XNR_RS23250	XNR_RS23250	5337584	5338102	DUF4240 domain-containing protein		
XNR_RS23255	XNR_RS23255	XNR_RS23255	5338249	5339193	SDR family oxidoreductase		
XNR_RS23260	XNR_RS23265 // XNR_RS23260	XNR_RS23260	5339211	5340188	YafY family transcriptional regulator		
XNR_RS23265	XNR_RS23265 // XNR_RS23260	XNR_RS23265	5340188	5341018	VOC family protein		
XNR_RS23275	XNR_RS23275	XNR_RS23275	5344294	5344917	GntR family transcriptional regulator		
XNR_RS23290	XNR_RS23290	XNR_RS23290	5348650	5350191	leucyl aminopeptidase		
XNR_RS23295	XNR_RS23295	XNR_RS23295	5350372	5351190	adenosylcobinamide-GDP ribazoletransferase		
XNR_RS23300	XNR_RS23300	XNR_RS23300	5351277	5352047	hypothetical protein		
XNR_RS23310	XNR_RS23310	XNR_RS23310	5353503	5354546	methyltransferase domain-containing protein		
XNR_RS23315	XNR_RS23315	XNR_RS23315	5354536	5355789	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase		
XNR_RS23320	XNR_RS23320	XNR_RS23320	5355943	5356158	hypothetical protein		
XNR_RS23325	XNR_RS23325	XNR_RS23325	5356237	5356938	methyltransferase domain-containing protein		
XNR_RS23330	XNR_RS23330	XNR_RS23330	5357133	5357753	DUF3043 domain-containing protein		
XNR_RS23335	XNR_RS23340 // XNR_RS23335	XNR_RS23335	5358039	5358815	PspA/IM30 family protein		
XNR_RS23340	XNR_RS23340 // XNR_RS23335	XNR_RS23340	5358833	5359111	hypothetical protein		
XNR_RS23345	XNR_RS23350 // XNR_RS23345	XNR_RS23345	5359185	5360603	two-component sensor histidine kinase		
XNR_RS23350	XNR_RS23350 // XNR_RS23345	XNR_RS23350	5360600	5361283	response regulator transcription factor		
XNR_RS23355	XNR_RS23355	XNR_RS23355	5361548	5364745	efflux RND transporter permease subunit		
XNR_RS23365	XNR_RS23365	XNR_RS23365	5366383	5366739	iron-sulfur cluster assembly accessory protein		
XNR_RS23370	XNR_RS23370	XNR_RS23370	5367439	5368467	cation transporter		
XNR_RS23375	XNR_RS23375	XNR_RS23375	5368590	5370035	hypothetical protein		
XNR_RS23380	XNR_RS23380	XNR_RS23380	5370189	5370398	hypothetical protein		
XNR_RS23385	XNR_RS23385	XNR_RS23385	5370574	5371548	carbohydrate kinase family protein		
XNR_RS23390	XNR_RS23390	XNR_RS23390	5371598	5372974	aminotransferase class V-fold PLP-dependent enzyme		
XNR_RS23405	XNR_RS23405 // ctaD // coxB	XNR_RS23405	5376126	5376524	cytochrome c oxidase subunit 4		
XNR_RS23410	XNR_RS23410	XNR_RS23410	5376707	5377927	L,D-transpeptidase family protein		
XNR_RS23415	XNR_RS23415	XNR_RS23415	5378049	5378450	hypothetical protein		
XNR_RS23420	XNR_RS23420	XNR_RS23420	5378749	5379369	heme-copper oxidase subunit III		
XNR_RS23425	XNR_RS23435 // XNR_RS23430 // XNR_RS23425	XNR_RS23425	5379445	5380254	c-type cytochrome		
XNR_RS23430	XNR_RS23435 // XNR_RS23430 // XNR_RS23425	XNR_RS23430	5380251	5381303	Rieske 2Fe-2S domain-containing protein		
XNR_RS23435	XNR_RS23435 // XNR_RS23430 // XNR_RS23425	XNR_RS23435	5381300	5382940	cytochrome bc complex cytochrome b subunit		
XNR_RS23445	XNR_RS23445	XNR_RS23445	5384638	5386002	aminotransferase class V-fold PLP-dependent enzyme		
XNR_RS23450	XNR_RS23450	XNR_RS23450	5385963	5387204	glycerate kinase		
XNR_RS23455	XNR_RS23455	XNR_RS23455	5387260	5388672	anion permease		
XNR_RS23460	XNR_RS23470 // XNR_RS23465 // XNR_RS23460	XNR_RS23460	5388749	5389414	response regulator transcription factor		
XNR_RS23465	XNR_RS23470 // XNR_RS23465 // XNR_RS23460	XNR_RS23465	5389411	5390883	HAMP domain-containing protein		
XNR_RS23470	XNR_RS23470 // XNR_RS23465 // XNR_RS23460	XNR_RS23470	5390870	5391214	hypothetical protein		
XNR_RS23475	XNR_RS23480 // XNR_RS23475	XNR_RS23475	5391332	5391613	Lrp/AsnC ligand binding domain-containing protein		
XNR_RS23480	XNR_RS23480 // XNR_RS23475	XNR_RS23480	5391610	5392347	rhomboid family intramembrane serine protease		
XNR_RS23485	XNR_RS23490 // XNR_RS23485	XNR_RS23485	5392573	5392812	hypothetical protein		
XNR_RS23490	XNR_RS23490 // XNR_RS23485	XNR_RS23490	5392847	5394226	NYN domain-containing protein		
XNR_RS23495	XNR_RS23495	XNR_RS23495	5394563	5395591	C40 family peptidase		
XNR_RS23500	XNR_RS23505 // XNR_RS23500	XNR_RS23500	5395940	5396914	C40 family peptidase		
XNR_RS23505	XNR_RS23505 // XNR_RS23500	XNR_RS23505	5396954	5398138	hypothetical protein		
XNR_RS23510	XNR_RS23510	XNR_RS23510	5398095	5399387	DUF2029 domain-containing protein		
XNR_RS23515	XNR_RS23515	XNR_RS23515	5399506	5400648	glycosyltransferase family 4 protein		
XNR_RS23520	XNR_RS23520	XNR_RS23520	5400737	5402533	long-chain fatty acid--CoA ligase		
XNR_RS23525	XNR_RS23525	XNR_RS23525	5402813	5403583	metallophosphoesterase family protein		
XNR_RS23530	XNR_RS23530	XNR_RS23530	5403733	5404179	SRPBCC family protein		
XNR_RS23535	XNR_RS23535	XNR_RS23535	5404227	5405417	hypothetical protein		
XNR_RS23540	XNR_RS23540	XNR_RS23540	5405494	5405982	DUF5304 domain-containing protein		
XNR_RS23545	XNR_RS23545	XNR_RS23545	5406063	5407004	ROK family glucokinase		
XNR_RS23550	XNR_RS23550	XNR_RS23550	5407340	5408122	endonuclease/exonuclease/phosphatase family protein		
XNR_RS23555	XNR_RS23560 // XNR_RS23555	XNR_RS23555	5408153	5408767	hypothetical protein		
XNR_RS23560	XNR_RS23560 // XNR_RS23555	XNR_RS23560	5408760	5409548	alpha/beta fold hydrolase		
XNR_RS23565	XNR_RS23565	XNR_RS23565	5409790	5410563	1-acyl-sn-glycerol-3-phosphate acyltransferase		
XNR_RS23570	XNR_RS23575 // XNR_RS23570	XNR_RS23570	5410681	5411889	histidine kinase		
XNR_RS23575	XNR_RS23575 // XNR_RS23570	XNR_RS23575	5411928	5412599	response regulator transcription factor		
XNR_RS23580	XNR_RS23580	XNR_RS23580	5412656	5413660	2-hydroxyacid dehydrogenase		
XNR_RS23585	XNR_RS23585	XNR_RS23585	5413711	5415600	chorismate-binding protein		
XNR_RS23590	XNR_RS23590	XNR_RS23590	5415948	5417267	3-deoxy-7-phosphoheptulonate synthase class II		
XNR_RS23595	XNR_RS23595	XNR_RS23595	5417744	5417974	(2Fe-2S)-binding protein		
XNR_RS23605	XNR_RS23605	XNR_RS23605	5418630	5419253	sulfite oxidase-like oxidoreductase		
XNR_RS23610	XNR_RS23610	XNR_RS23610	5419281	5420147	deoxyribonuclease IV		
XNR_RS23620	thiO // thiS // XNR_RS23620	XNR_RS23620	5422264	5423058	thiazole synthase		
XNR_RS23635	XNR_RS23635	XNR_RS23635	5424795	5425982	oxidoreductase		
XNR_RS23640	XNR_RS23640	XNR_RS23640	5426952	5427317	helix-turn-helix domain-containing protein		
XNR_RS23645	XNR_RS23645	XNR_RS23645	5427442	5428089	thiamine phosphate synthase		
XNR_RS23655	XNR_RS23655	XNR_RS23655	5429168	5430160	hypothetical protein		
XNR_RS23660	XNR_RS23660	XNR_RS23660	5430203	5431702	NAD(P)/FAD-dependent oxidoreductase		
XNR_RS23665	XNR_RS23665	XNR_RS23665	5431941	5432561	TetR/AcrR family transcriptional regulator		
XNR_RS23670	XNR_RS23670	XNR_RS23670	5432606	5434690	YhgE/Pip domain-containing protein		
XNR_RS23675	XNR_RS23675	XNR_RS23675	5434662	5435606	ATP-binding cassette domain-containing protein		
XNR_RS23680	XNR_RS23680	XNR_RS23680	5435966	5436736	methyltransferase domain-containing protein		
XNR_RS23685	XNR_RS23685	XNR_RS23685	5437016	5437435	DUF3040 domain-containing protein		
XNR_RS23690	XNR_RS23690	XNR_RS23690	5437627	5440131	transglutaminase domain-containing protein		
XNR_RS23695	XNR_RS23700 // XNR_RS23695	XNR_RS23695	5440050	5441393	DUF58 domain-containing protein		
XNR_RS23700	XNR_RS23700 // XNR_RS23695	XNR_RS23700	5441393	5442412	MoxR family ATPase		
XNR_RS23705	XNR_RS23705	XNR_RS23705	5442628	5443167	carbonic anhydrase		
XNR_RS23715	XNR_RS23720 // XNR_RS23715 // rsmH	XNR_RS23715	5444573	5445145	hypothetical protein		
XNR_RS23720	XNR_RS23720 // XNR_RS23715 // rsmH	XNR_RS23720	5445150	5447204	penicillin-binding protein 2		
XNR_RS23725	murG // ftsW // XNR_RS23740 // XNR_RS23735 // murF // XNR_RS23725	XNR_RS23725	5447384	5449042	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase		
XNR_RS23735	murG // ftsW // XNR_RS23740 // XNR_RS23735 // murF // XNR_RS23725	XNR_RS23735	5450468	5451541	phospho-N-acetylmuramoyl-pentapeptide- transferase		
XNR_RS23740	murG // ftsW // XNR_RS23740 // XNR_RS23735 // murF // XNR_RS23725	XNR_RS23740	5451523	5452968	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase		
XNR_RS23755	XNR_RS23755	XNR_RS23755	5455562	5456353	FtsQ-type POTRA domain-containing protein		
XNR_RS23770	XNR_RS23770 // pgeF // ftsZ	XNR_RS23770	5458634	5459353	YggS family pyridoxal phosphate-dependent enzyme		
XNR_RS23775	XNR_RS23775	XNR_RS23775	5459478	5460089	cell division protein SepF		
XNR_RS23780	XNR_RS23780	XNR_RS23780	5460142	5460426	YggT family protein		
XNR_RS23785	XNR_RS23785	XNR_RS23785	5460482	5461678	DivIVA domain-containing protein		
XNR_RS23790	XNR_RS23790	XNR_RS23790	5461873	5465016	isoleucine--tRNA ligase		
XNR_RS23795	XNR_RS23795	XNR_RS23795	5465660	5466121	TraR/DksA family transcriptional regulator		
XNR_RS23800	XNR_RS23800	XNR_RS23800	5466266	5466877	signal peptidase II		
XNR_RS23805	XNR_RS23810 // XNR_RS23805	XNR_RS23805	5466961	5467905	RluA family pseudouridine synthase		
XNR_RS23810	XNR_RS23810 // XNR_RS23805	XNR_RS23810	5467940	5468425	GNAT family N-acetyltransferase		
XNR_RS23815	XNR_RS23815	XNR_RS23815	5468556	5470142	Na+/H+ antiporter		
XNR_RS23820	XNR_RS23820	XNR_RS23820	5470345	5470914	dienelactone hydrolase family protein		
XNR_RS23825	XNR_RS23825	XNR_RS23825	5470925	5472643	serine/threonine protein kinase		
XNR_RS23830	XNR_RS23830	XNR_RS23830	5472717	5474363	alkaline phosphatase D family protein		
XNR_RS23835	XNR_RS23835	XNR_RS23835	5474490	5475308	DsbA family protein		
XNR_RS23840	XNR_RS23840	XNR_RS23840	5475400	5476092	hypothetical protein		
XNR_RS23850	XNR_RS23850	XNR_RS23850	5481172	5482401	NYN domain-containing protein		
XNR_RS23855	XNR_RS23860 // XNR_RS23855	XNR_RS23855	5482482	5483495	ABC transporter ATP-binding protein		
XNR_RS23860	XNR_RS23860 // XNR_RS23855	XNR_RS23860	5483492	5484373	ABC transporter permease		
XNR_RS23865	XNR_RS23865	XNR_RS23865	5484441	5485076	hypothetical protein		
XNR_RS23875	XNR_RS23880 // XNR_RS23875 // ybaK	XNR_RS23875	5485626	5486381	LON peptidase substrate-binding domain-containing protein		
XNR_RS23880	XNR_RS23880 // XNR_RS23875 // ybaK	XNR_RS23880	5486393	5487430	hypothetical protein		
XNR_RS23885	XNR_RS23885	XNR_RS23885	5487589	5489160	hypothetical protein		
XNR_RS23895	hisF // XNR_RS23920 // priA // hisH // XNR_RS30920 // hisB // XNR_RS23895 // hisD	XNR_RS23895	5490706	5491893	histidinol-phosphate transaminase		
XNR_RS23920	hisF // XNR_RS23920 // priA // hisH // XNR_RS30920 // hisB // XNR_RS23895 // hisD	XNR_RS23920	5494086	5494250	hypothetical protein		
XNR_RS23930	XNR_RS23930	XNR_RS23930	5495145	5496032	2-dehydropantoate 2-reductase		
XNR_RS23935	XNR_RS23935	XNR_RS23935	5496121	5496756	TIGR03085 family protein		
XNR_RS23945	XNR_RS23945	XNR_RS23945	5497207	5497764	hypothetical protein		
XNR_RS23950	XNR_RS23955 // XNR_RS23950	XNR_RS23950	5497855	5499342	anthranilate synthase component I		
XNR_RS23955	XNR_RS23955 // XNR_RS23950	XNR_RS23955	5499412	5500065	TIGR02234 family membrane protein		
XNR_RS23960	XNR_RS23960	XNR_RS23960	5500194	5500430	hypothetical protein		
XNR_RS23965	XNR_RS23965	XNR_RS23965	5500561	5501016	DUF2752 domain-containing protein		
XNR_RS23980	XNR_RS23980 // trpB // trpC	XNR_RS23980	5503630	5504445	tryptophan synthase subunit alpha		
XNR_RS23985	XNR_RS23985	XNR_RS23985	5504560	5505336	thioredoxin domain-containing protein		
XNR_RS23990	XNR_RS23990	XNR_RS23990	5505457	5506410	prolipoprotein diacylglyceryl transferase		
XNR_RS23995	XNR_RS24025 // XNR_RS24020 // XNR_RS24015 // XNR_RS24010 // XNR_RS24005 // XNR_RS24000 // XNR_RS23995	XNR_RS23995	5506487	5507356	CoA ester lyase		
XNR_RS24000	XNR_RS24025 // XNR_RS24020 // XNR_RS24015 // XNR_RS24010 // XNR_RS24005 // XNR_RS24000 // XNR_RS23995	XNR_RS24000	5507353	5508582	CoA transferase		
XNR_RS24005	XNR_RS24025 // XNR_RS24020 // XNR_RS24015 // XNR_RS24010 // XNR_RS24005 // XNR_RS24000 // XNR_RS23995	XNR_RS24005	5508579	5509481	ribokinase		
