Orthogroup	Bsu	Eco	Mtu	Pae	Sac	Sal	Sen
OG0003413	"BSU_17310, BSU_19510"						
OG0003414	"BSU_17470, BSU_18669"						
OG0003415	"BSU_17480, BSU_21600"						
OG0003416	"BSU_17490, BSU_21490"						
OG0003417	BSU_17580	b0271					
OG0003418	"BSU_17620, BSU_21610"						
OG0003419	"BSU_17660, BSU_20020"						
OG0003420	"BSU_17670, BSU_17700"						
OG0003421	"BSU_17690, BSU_26820"						
OG0003422	"BSU_17810, BSU_20920"						
OG0003423	BSU_18130					XNR_RS11010	
OG0003424	BSU_18150						STM4426
OG0003425	BSU_18280	b1491					
OG0003426	"BSU_18700, BSU_18870"						
OG0003427	BSU_18720			PA0749			
OG0003428	"BSU_18960, BSU_21520"						
OG0003429	BSU_19060					XNR_RS08305	
OG0003430	BSU_19320					XNR_RS01310	
OG0003431	"BSU_19760, BSU_37910"						
OG0003432	"BSU_19840, BSU_20780"						
OG0003433	"BSU_18899, BSU_20520"						
OG0003434	"BSU_20610, BSU_22190"						
OG0003435	"BSU_18709, BSU_20620"						
OG0003436	"BSU_21500, BSU_23710"						
OG0003437	BSU_21630					XNR_RS24150	
OG0003438	"BSU_21830, BSU_32280"						
OG0003439	"BSU_21860, BSU_23990"						
OG0003440	BSU_22040		Rv1139c				
OG0003441	BSU_22070			PA5298			
OG0003442	BSU_22080				SACI_RS07925		
OG0003443	BSU_22120			PA2259			
OG0003444	BSU_22500				SACI_RS02080		
OG0003445	BSU_23170			PA5478			
OG0003446	"BSU_05529, BSU_23350"						
OG0003447	"BSU_23402, BSU_23420"						
OG0003448	BSU_23680			PA2268			
OG0003449	BSU_23750					XNR_RS22675	
OG0003450	BSU_23790				SACI_RS05290		
OG0003451	"BSU_23810, BSU_37770"						
OG0003452	"BSU_24200, BSU_35640"						
OG0003453	BSU_24510		Rv2037c				
OG0003454	BSU_24560				SACI_RS06610		
OG0003455	BSU_25390			PA0451			
OG0003456	"BSU_12749, BSU_25960"						
OG0003457	"BSU_12619, BSU_26120"						
OG0003458	BSU_26280	b1349					
OG0003459	BSU_26370			PA4799			
OG0003460	"BSU_26920, BSU_26930"						
OG0003461	"BSU_26950, BSU_26980"						
OG0003462	BSU_28410			PA1136			
OG0003463	"BSU_28510, BSU_28720"						
OG0003464	"BSU_28810, BSU_39330"						
OG0003465	BSU_29250		Rv2837c				
OG0003466	BSU_29280			PA5024			
OG0003467	"BSU_29370, BSU_29380"						
OG0003468	"BSU_29390, BSU_39510"						
OG0003469	BSU_29720			PA1461			
OG0003470	BSU_29890			PA4200			
OG0003471	BSU_29940				SACI_RS07935		
OG0003472	BSU_30260	b3075					
OG0003473	"BSU_30430, BSU_30440"						
OG0003474	"BSU_30900, BSU_30920"						
OG0003475	"BSU_31080, BSU_37800"						
OG0003476	BSU_31110	b3562					
OG0003477	BSU_31500			PA1134			
OG0003478	BSU_31910					XNR_RS17780	
OG0003479	BSU_32030					XNR_RS21360	
OG0003480	BSU_32040			PA2653			
OG0003481	BSU_32140			PA4182			
OG0003482	BSU_32400					XNR_RS15340	
OG0003483	"BSU_33140, BSU_37700"						
OG0003484	BSU_33480						STM1115
OG0003485	BSU_33590			PA1344			
OG0003486	BSU_33790		Rv2034				
OG0003487	BSU_34080					XNR_RS22685	
OG0003488	BSU_34350			PA3141			
OG0003489	"BSU_34370, BSU_36260"						
OG0003490	BSU_34430						STM4510
OG0003491	BSU_35070		Rv2275				
OG0003492	BSU_36150					XNR_RS16585	
OG0003493	BSU_36450						STM2280
OG0003494	"BSU_36570, BSU_36610"						
OG0003495	BSU_36630			PA4169			
OG0003496	BSU_37040	b2372					
OG0003497	BSU_37200				SACI_RS05225		
OG0003498	"BSU_37440, BSU_37450"						
OG0003499	BSU_37640			PA4286			
OG0003500	BSU_37870					XNR_RS19625	
OG0003501	BSU_38040					XNR_RS03070	
OG0003502	BSU_38270	b1018					
OG0003503	BSU_38280			PA5248			
OG0003504	BSU_38510			PA3548			
OG0003505	BSU_38710			PA5099			
OG0003506	"BSU_38950, BSU_38960"						
OG0003507	BSU_39240			PA2576			
OG0003508	BSU_39440					XNR_RS19350	
OG0003509	BSU_39460			PA0881			
OG0003510	BSU_39540						STM1540
OG0003511	BSU_39690						STM4436
OG0003512	BSU_40340					XNR_RS19335	
OG0003513	BSU_40370			PA1012			
OG0003514	BSU_40640			PA1325			
OG0003515	BSU_40650					XNR_RS05650	
OG0003516	BSU_40860					XNR_RS05910	
OG0003517	BSU_03651						STM2923
OG0003518	"BSU_05099, BSU_21329"						
OG0003519	"BSU_12229, BSU_20928"						
OG0003520	"BSU_12649, BSU_26089"						
OG0003521	BSU_18239		Rv3221c				
OG0003522	BSU_18849			PA0825			
OG0003523	"BSU_18978, BSU_26055"						
OG0003524	BSU_31640			PA1057			
OG0003525		b0001					STM0001
OG0003526		b0011					STM0010
OG0003527		b0013					STM0011
OG0003528		b0020					STM0040
OG0003529		b0024					STM0044
OG0003530		b0034					STM0068
OG0003531		b0044					STM0078
OG0003532		b0067					STM0107
OG0003533		b0075					STM0114
OG0003534		b0097					STM0135
OG0003535		b0102					STM0139
OG0003536		b0117					STM0157
OG0003537		b0119					STM0160
OG0003538		b0122					STM0167
OG0003539		b0129					STM0178
OG0003540		b0151					STM0192
OG0003541		b0163					STM0211
OG0003542		b0178					STM0225
OG0003543		b0196					STM0244
OG0003544		b0209					STM0258
OG0003545		b0225					STM3516
OG0003546		b0226					STM3517
OG0003547		b0228		PA1154			
OG0003548		b0237					STM0316
OG0003549		b0239					STM0318
OG0003550		b0249					PSLT067
OG0003551		"b0250, b2637"					
OG0003552		"b0251, b2636"					
OG0003553		"b0252, b2633"					
OG0003554		"b0253, b2632"					
OG0003555		"b0269, b4297"					
OG0003556		"b0277, b2626"					
OG0003557		"b0289, b0292"					
OG0003558		b0301					STM0566
OG0003559		b0303					STM0565
OG0003560		"b0323, b2874"					
OG0003561		b0328					STM0365
OG0003562		b0329					STM0366
OG0003563		b0330					STM0367
OG0003564		b0340		PA2052			
OG0003565		b0343				XNR_RS03075	
OG0003566		"b0344, b3076"					
OG0003567		b0348			SACI_RS05450		
OG0003568		b0351	Rv3535c				
OG0003569		b0377					STM0376
OG0003570		b0379					STM0378
OG0003571		b0380					STM0379
OG0003572		b0382					STM0383
OG0003573		b0389					STM0389
OG0003574		b0390					STM0390
OG0003575		b0394					STM0393
OG0003576		b0404					STM0403
OG0003577		b0410					STM0411
OG0003578		b0412					STM0414
OG0003579		b0434					STM0445
OG0003580		b0446					STM0457
OG0003581		b0458					STM0471
OG0003582		b0460					STM0473
OG0003583		b0461					STM0474
OG0003584		b0466					STM0480
OG0003585		b0467					STM0481
OG0003586		b0477					STM0491
OG0003587		b0480					STM0494
OG0003588		b0482					STM0496
OG0003589		b0490					STM0502
OG0003590		"b0498, b3483"					
OG0003591		b0528					STM0541
OG0003592		b0534					STM0548
OG0003593		b0537					STM0554
OG0003594		b0551					STM2239
OG0003595		"b0554, b1556"					
OG0003596		b0565					STM2395
OG0003597		b0568		PA4667			
OG0003598		b0580					STM0582
OG0003599		b0587					STM0589
OG0003600		b0603					STM0606
OG0003601		b0607					STM0614
OG0003602		b0611					STM0617
OG0003603		b0622					STM0628
OG0003604		b0629					STM0634
OG0003605		b0641					STM0647
OG0003606		b0643					STM0653
OG0003607		b0644					STM0654
OG0003608		b0650					STM0659
OG0003609		b0681					STM0687
OG0003610		b0682					STM0688
OG0003611		b0685					STM0695
OG0003612		b0687					STM0697
OG0003613		b0692					STM0700
OG0003614		b0699					STM0708
OG0003615		b0732	Rv0648				
OG0003616		b0735					STM0743
OG0003617		b0739					STM0747
OG0003618		b0753					STM0759
OG0003619		b0760					STM0778
OG0003620		b0762					STM0780
OG0003621		b0772					STM0786
OG0003622		b0791					STM0814
OG0003623		b0794					STM0817
OG0003624		b0795					STM0818
OG0003625		b0802					STM0823
OG0003626		b0804		PA4515			
OG0003627		b0810					STM0829
OG0003628		b0821					STM0841
OG0003629		b0823					STM0843
OG0003630		b0824					STM0844
OG0003631		b0836					STM0853
OG0003632		b0842					STM0866
OG0003633		b0847					STM0870
OG0003634		b0848					STM0871
OG0003635		b0850					STM0873
OG0003636		b0853					STM0876
OG0003637		b0858					STM0881
OG0003638		b0861					STM0888
OG0003639		b0862					STM0889
OG0003640		b0865					STM0892
OG0003641		b0866					STM0930
OG0003642		b0873					STM0937
OG0003643		b0876					STM0939
OG0003644		b0919					STM0989
OG0003645		b0922					STM0992
OG0003646		b0923					STM0993
OG0003647		b0924					STM0994
OG0003648		b0925					STM0995
OG0003649		b0926					STM0996
OG0003650		b0928					STM0998
OG0003651		b0942					STM0025
OG0003652		b0946					STM1059
OG0003653		b0951					STM1064
OG0003654		b0952					STM1065
OG0003655		b0956					STM1069
OG0003656		b0957					STM1070
OG0003657		b0958					STM1071
OG0003658		b0959					STM1072
OG0003659		b0964					STM1077
OG0003660		b0966					STM1079
OG0003661		b0977					STM1791
OG0003662		b0989					STM1243
OG0003663		b0993					STM3826
OG0003664		b0994					STM3825
OG0003665		b0995					STM3824
OG0003666		b0996					STM3823
OG0003667		b0998					STM3821
OG0003668		b0999					STM1111
OG0003669		b1000					STM1112
OG0003670		b1003					STM1118
OG0003671		b1020					STM1126
OG0003672		"b1025, b1785"					
OG0003673		b1034					STM1136
OG0003674		b1035					STM1137
OG0003675		b1037					STM1139
OG0003676		b1038					STM1140
OG0003677		b1039					STM1141
OG0003678		b1040					STM1142
OG0003679		b1041					STM1143
OG0003680		b1042					STM1144
OG0003681		b1043					STM1145
OG0003682		b1047					STM1149
OG0003683		b1050					STM1152
OG0003684		b1051					STM1153
OG0003685		b1058					STM1159
OG0003686		b1059					STM1160
OG0003687		b1060					STM1161
OG0003688		b1063					STM1164
OG0003689		b1064					STM1165
OG0003690		b1070					STM1171
OG0003691		b1071					STM1172
OG0003692		b1104					STM1206
OG0003693		b1105					STM1207
OG0003694		b1106					STM1208
OG0003695		b1108					STM1210
OG0003696		b1112					STM1214
OG0003697		b1116					STM1217
OG0003698		b1119					STM1220
OG0003699		b1154					STM2235
OG0003700		b1160					STM1110
OG0003701		b1177					STM0905
OG0003702		b1178					STM2610
OG0003703		b1187					STM1805
OG0003704		b1193					STM1799
OG0003705		b1194					STM1798
OG0003706		b1199				XNR_RS23170	
OG0003707		b1200				XNR_RS23165	
OG0003708		b1205					STM1782
OG0003709		b1209					STM1778
OG0003710		b1213					STM1774
OG0003711		b1217					STM1770
OG0003712		b1219					STM1769
OG0003713		b1237					STM1751
OG0003714		b1238					STM1750
OG0003715		b1248					STM1740
OG0003716		b1255					STM1734
OG0003717		b1258					STM1729
OG0003718		b1273					STM1715
OG0003719		b1278					STM1710
OG0003720		b1279					STM1709
OG0003721		b1280					STM1708
OG0003722		b1283					STM1705
OG0003723		b1284					STM1704
OG0003724		b1286					STM1702
OG0003725		b1287					STM1701
OG0003726		b1290					STM1696
OG0003727		b1292					STM1694
OG0003728		b1293					STM1693
OG0003729		b1305					STM1689
OG0003730		b1306					STM1688
OG0003731		b1307					STM1687
OG0003732		b1314				XNR_RS04435	
OG0003733		b1321					STM1685
OG0003734		b1322					STM1684
OG0003735		b1332					STM1662
OG0003736		b1336				XNR_RS24770	
OG0003737		b1337	Rv3306c				
OG0003738		"b1571, b4527"					
OG0003739		"b1375, b1544"					
OG0003740		b1376					STM1652
OG0003741		b1379					STM1648
OG0003742		b1381					STM1646
OG0003743		b1386			SACI_RS10545		
OG0003744		b1389				XNR_RS10735	
OG0003745		b1390				XNR_RS29170	
OG0003746		b1406				XNR_RS11845	
OG0003747		b1411		PA2539			
OG0003748		b1414					STM1640
OG0003749		b1418					STM1639
OG0003750		b1419		PA3367			
OG0003751		b1424					STM1622
OG0003752		b1428					STM1610
OG0003753		b1429					STM1609
OG0003754		b1431					STM1607
OG0003755		b1435					STM1604
OG0003756		b1436					STM1603
OG0003757		b1445					STM1596
OG0003758		b1446					STM1592
OG0003759		b1452					STM1586
OG0003760		b1473					STM1571
OG0003761		b1480					STM1565
OG0003762		b1481					STM1564
OG0003763		b1496	Rv1819c				
OG0003764		"b1502, b4320"					
OG0003765		b1508	Rv1956				
OG0003766		b1511					STM4072
OG0003767		b1513					STM4074
OG0003768		b1514					STM4075
OG0003769		b1515					STM4076
OG0003770		b1516					STM4077
OG0003771		b1517					STM4078
OG0003772		b1520					STM1527
OG0003773		b1523					STM1526
OG0003774		b1532					STM1518
OG0003775		b1536					STM1515
OG0003776		b1538					STM1512
OG0003777		b1541					STM1509
OG0003778		b1553					STM1869
OG0003779		b1560					STM2240
OG0003780		b1564					STM4449
OG0003781		b1570			SACI_RS03120		
OG0003782		b1583					STM1503
OG0003783		b1585					STM1501
OG0003784		b1604					STM1478
OG0003785		b1606		PA3437			
OG0003786		b1610					STM1470
OG0003787		b1625					STM1461
OG0003788		b1626					STM1460
OG0003789		b1643					STM1443
OG0003790		b1645					STM1441
OG0003791		b1648					STM1438
OG0003792		b1659					STM1429
OG0003793		b1667					STM3461
OG0003794		b1670					STM2063
OG0003795		b1675					STM1388
OG0003796		b1684					STM1369
OG0003797		b1685					STM1367
OG0003798		b1689					STM1362
OG0003799		b1694					STM1357
OG0003800		b1700					STM1351
OG0003801		b1705					STM1346
OG0003802		b1707					STM1344
OG0003803		b1709					STM1342
OG0003804		b1722					STM1327
OG0003805		b1724					STM1325
OG0003806		b1726					STM1323
OG0003807		b1731					STM1319
OG0003808		b1733					STM1317
OG0003809		b1735					STM1315
OG0003810		b1741					STM1309
OG0003811		b1742		PA5104			
OG0003812		b1743					STM1308
OG0003813		b1758		PA3857			
OG0003814		b1760					STM1300
OG0003815		b1786					STM1283
OG0003816		b1787					STM1282
OG0003817		b1788					STM1281
OG0003818		b1793					STM1275
OG0003819		b1796					STM1272
OG0003820		b1810					STM0327
OG0003821		b1811					STM1823
OG0003822		b1815					STM1827
OG0003823		b1820					STM1833
OG0003824		b1824					STM1838
OG0003825		b1825					STM1839
OG0003826		b1826					STM1840
OG0003827		b1833					STM1848
OG0003828		b1836					STM1851
OG0003829		b1837					STM1852
OG0003830		b1839					STM1873
OG0003831		b1847					STM1881
OG0003832		b1855					STM1889
OG0003833		b1865					STM1900
OG0003834		b1869					STM1904
OG0003835		b1875					STM1908
OG0003836		b1878					STM1912
OG0003837		b1891					STM1924
OG0003838		b1892					STM1925
OG0003839		b1904					STM1934
OG0003840		b1906					STM1936
OG0003841		b1915					STM1949
OG0003842		b1921					STM1955
OG0003843		b1926					STM1962
OG0003844		b1928					STM1964
OG0003845		b1944					STM1975
OG0003846		b1951					STM1982
OG0003847		b1953					STM1984
OG0003848		b1955					STM1986
OG0003849		b1956					STM1987
OG0003850		b1957					STM1988
OG0003851		b1963					STM1994
OG0003852		b1967		PA1135			
OG0003853		b2007					STM2059
OG0003854		b2008					STM2060
OG0003855		b2009					STM2061
OG0003856		b2016					STM2070
OG0003857		b2043					STM2099
OG0003858		b2045					STM2101
OG0003859		b2056					STM2112
OG0003860		b2057					STM2113
OG0003861		b2058					STM2114
OG0003862		b2073				XNR_RS09620	
OG0003863		b2079					STM2131
OG0003864		b2080		PA0329			
OG0003865		b2082					STM2694
OG0003866		b2094					STM3258
OG0003867		b2097					STM2141
OG0003868		b2098					STM2142
OG0003869		b2100					STM2144
OG0003870		b2106					STM3024
OG0003871		b2107					STM2148
OG0003872		b2108					STM2149
OG0003873		b2110					STM2151
OG0003874		b2111					STM2152
OG0003875		b2112					STM2153
OG0003876		b2119				XNR_RS19130	
OG0003877		b2120				XNR_RS19135	
OG0003878		b2121				XNR_RS19140	
OG0003879		b2130					STM2164
OG0003880		b2133					STM2167
OG0003881		b2143					STM2183
OG0003882		b2144					STM2184
OG0003883		b2145					STM2185
OG0003884		b2150					STM2190
OG0003885		"b2160, b2166"					
OG0003886		b2165				XNR_RS27955	
OG0003887		b2173					STM2212
OG0003888		b2181					STM2220
OG0003889		b2187					STM2227
OG0003890		b2205					STM2258
OG0003891		b2216					STM2269
OG0003892		b2218					STM2271
OG0003893		b2223		PA2002			
OG0003894		b2226		PA4488			
OG0003895		b2229		PA4490			
OG0003896		b2230		PA4491			
OG0003897		b2234					STM2277
OG0003898		b2236					STM2279
OG0003899		b2242					STM2285
OG0003900		b2248					STM2292
OG0003901		b2250					STM2294
OG0003902		b2252					STM2296
OG0003903		b2259					STM2304
OG0003904		b2261					STM2306
OG0003905		b2265					STM2310
OG0003906		b2269					STM2287
OG0003907		b2294					STM2335
OG0003908		b2295					STM2336
OG0003909		b2303		PA3439			
OG0003910		b2314					STM2364
OG0003911		b2321					STM2371
OG0003912		b2325					STM2380
OG0003913		b2326					STM2381
OG0003914		b2328					STM2383
OG0003915		b2331					STM2386
OG0003916		b2332					STM0201
OG0003917		b2333					STM0200
OG0003918		b2334					STM0199
OG0003919		b2335					STM0198
OG0003920		b2339					STM0195
OG0003921		b2343					STM2390
OG0003922		"b2349, b2442"					
OG0003923		b2364					STM3800
OG0003924		b2365					STM3801
OG0003925		b2375					STM3030
OG0003926		b2377					STM2400
OG0003927		b2389					STM2404
OG0003928		b2395					STM2410
OG0003929		b2398					STM2413
OG0003930		b2399					STM2414
OG0003931		b2405					STM2420
OG0003932		b2418					STM2435
OG0003933		b2419					STM2438
OG0003934		b2432					STM2447
OG0003935		b2433					STM2448
OG0003936		b2438					STM2455
OG0003937		b2451					STM2459
OG0003938		b2453					STM2461
OG0003939		b2454					STM2462
OG0003940		b2459					STM2467
OG0003941		b2460					STM2468
OG0003942		b2466					STM2476
OG0003943		b2473		PA3859			
OG0003944		b2477					STM2488
OG0003945		b2503					STM2503
OG0003946		b2504					STM2506
OG0003947		b2510					STM2518
OG0003948		b2513					STM2521
OG0003949		b2519					STM2531
OG0003950		b2522					STM2535
OG0003951		b2523					STM2536
OG0003952		b2535					STM2553
OG0003953		b2549				XNR_RS02140	
OG0003954		b2555					STM2563
OG0003955		b2556					STM2564
OG0003956		b2560					STM2569
OG0003957		b2561					STM2572
OG0003958		b2575					STM2642
OG0003959		b2579					STM2646
OG0003960		b2581					STM2648
OG0003961		b2585					STM2652
OG0003962		b2597					STM2665
OG0003963		"b2625, b4688"					
OG0003964		b2659					STM2789
OG0003965		b2669					STM2799
OG0003966		b2670					STM2800
OG0003967		b2671					STM2801
OG0003968		b2672					STM2802
OG0003969		b2679					STM2811
OG0003970		b2705					STM2835
OG0003971		b2706					STM2836
OG0003972		b2712					STM2842
OG0003973		b2717					STM2845
OG0003974		b2720					STM2848
OG0003975		b2725					STM2853
OG0003976		b2726					STM2854
OG0003977		b2727					STM2855
OG0003978		b2729					STM2857
OG0003979		b2730					STM2858
OG0003980		b2732					STM2860
OG0003981		b2736					STM2918
OG0003982		b2749					STM2932
OG0003983		b2754					STM2937
OG0003984		b2755					STM2938
OG0003985		b2760					STM2943
OG0003986		"b2775, b3874"					
OG0003987		b2791					STM2964
OG0003988		b2793					STM2967
OG0003989		b2796					STM2970
OG0003990		b2801					STM3792
OG0003991		b2802					STM2976
OG0003992		b2803					STM2977
OG0003993		b2804					STM2978
OG0003994		b2805					STM2979
OG0003995		b2809					STM2983
OG0003996		b2823					STM2997
OG0003997		b2824					STM2998
OG0003998		b2825					STM2999
OG0003999		b2826					STM3000
OG0004000		b2831					STM3005
OG0004001		b2836					STM3010
OG0004002		b2840					STM3015
OG0004003		b2845					STM3022
OG0004004		b2847					STM3759
OG0004005		b2848					STM3758
OG0004006		b2852					STM2876
OG0004007		b2871					STM1002
OG0004008		b2895					STM3045
OG0004009		b2896					STM3046
OG0004010		b2900					STM3050
OG0004011		b2909					STM3059
OG0004012		b2922					STM3065
OG0004013		b2939					STM3087
OG0004014		b2940					STM3088
OG0004015		b2956					STM3105
OG0004016		b2958					STM3107
OG0004017		b2988					STM3139
OG0004018		b2989					STM3140
OG0004019		b2990					STM3143
OG0004020		b2992					STM3145
OG0004021		b2993					STM3146
OG0004022		b2995					STM3148
OG0004023		b2996					STM3149
OG0004024		b2997					STM3150
OG0004025		b2998					STM3151
OG0004026		b3006					STM3159
OG0004027		b3008					STM3161
OG0004028		b3009					STM3162
OG0004029		b3029					STM3180
OG0004030		b3037					STM3187
OG0004031		b3049					STM3197
OG0004032		b3050					STM3198
OG0004033		b3062					STM3354
OG0004034		b3073					STM3218
OG0004035		b3082					STM4030
OG0004036		b3083					STM4031
OG0004037		b3096					STM3227
OG0004038		b3099					STM3230
OG0004039		b3100					STM3231
OG0004040		b3106					STM3236
OG0004041		b3107					STM3237
OG0004042		b3116					STM3243
OG0004043		b3126					STM3249
OG0004044		b3154					STM3270
OG0004045		b3163					STM3281
OG0004046		b3191					STM3309
OG0004047		b3199					STM3317
OG0004048		b3207					STM3325
OG0004049		b3215					STM4573
OG0004050		b3216					STM4572
OG0004051		b3220					STM3332
OG0004052		b3221					STM3335
OG0004053		b3233					STM3347
OG0004054		b3239					STM3363
OG0004055		b3240					STM3364
OG0004056		b3241					STM3365
OG0004057		b3242					STM3366
OG0004058		b3252					STM3375
OG0004059		b3257					STM3381
OG0004060		b3263					STM3387
OG0004061		b3267					STM3392
OG0004062		b3280					STM3400
OG0004063		b3284					STM3404
OG0004064		b3329		PA3100			
OG0004065		b3347					STM3453
OG0004066		b3354		PA3463			
OG0004067		b3355					STM3464
OG0004068		b3362					STM3471
OG0004069		b3364					STM3473
OG0004070		b3369					STM3480
OG0004071		b3392					STM3489
OG0004072		b3393					STM3490
OG0004073		b3394					STM3491
OG0004074		b3395					STM3492
OG0004075		b3398					STM3495
OG0004076		b3402					STM3499
OG0004077		b3440					STM3545
OG0004078		b3448					STM3552
OG0004079		b3467					STM3574
OG0004080		b3468					STM3575
OG0004081		b3472					STM3580
OG0004082		b3475					STM3583
OG0004083		b3494					STM3590
OG0004084		"b3507, b3512"					
OG0004085		b3509					STM1562
OG0004086		b3520					STM3606
OG0004087		b3526					STM3612
OG0004088		b3527					STM3613
OG0004089		b3529					STM3615
OG0004090		b3531					STM3617
OG0004091		b3532					STM3618
OG0004092		b3535					STM3621
OG0004093		b3536					STM3622
OG0004094		b3537					STM3623
OG0004095		b3538					STM3624
OG0004096		b3539					STM3625
OG0004097		b3546					STM3635
OG0004098		b3561					STM3658
OG0004099		b3563					STM3659
OG0004100		b3566				XNR_RS16445	
OG0004101		b3568				XNR_RS16455	
OG0004102		b3569					STM3662
OG0004103		b3571					STM3664
OG0004104		b3575					STM3668
OG0004105		b3576					STM3669
OG0004106		b3580					STM3674
OG0004107		"b3587, b3598"					
OG0004108		b3602					STM3689
OG0004109		b3624					STM3715
OG0004110		b3625					STM3716
OG0004111		b3632					STM3723
OG0004112		b3647					STM3739
OG0004113		b3655					STM3748
OG0004114		b3663					STM3786
OG0004115		b3666					STM3787
OG0004116		b3670					STM3795
OG0004117		b3672					STM3797
OG0004118		b3673					STM3798
OG0004119		b3674					STM3803
OG0004120		b3685					STM3807
OG0004121		b3686					STM3808
OG0004122		b3688					STM3810
OG0004123		b3689					STM3811
OG0004124		b3693					STM3829
OG0004125		b3710					STM3847
OG0004126		b3711					STM3848
OG0004127		b3712					STM3849
OG0004128		b3739					STM3872
OG0004129		b3742					STM3875
OG0004130		b3744					STM3877
OG0004131		b3764					STM3898
OG0004132		b3766					STM3900
OG0004133		b3769					STM3902
OG0004134		b3773					STM3908
OG0004135		b3785					STM3919
OG0004136		b3792					STM3926
OG0004137		b3793					STM3928
OG0004138		b3810					STM3948
OG0004139		b3817					STM3953
OG0004140		b3818					STM3954
OG0004141		b3821					STM3957
OG0004142		b3831					STM3968
OG0004143		b3834					STM3971
OG0004144		b3842					STM3977
OG0004145		b3847					STM3984
OG0004146		b3850					STM3987
OG0004147		b3856					STM3993
OG0004148		b3858					STM3995
OG0004149		b3866					STM4003
OG0004150		b3875					STM4016
OG0004151		b3878					STM4019
OG0004152		b3880					STM4021
OG0004153		b3881					STM4022
OG0004154		b3883					STM4024
OG0004155		b3885					STM4026
OG0004156		"b3889, b3890"					
OG0004157		b3892					STM4035
OG0004158		b3902					STM4045
OG0004159		b3907					STM4050
OG0004160		b3920					STM4082
OG0004161		b3921					STM4083
OG0004162		b3928					STM4088
OG0004163		b3938					STM4099
OG0004164		b3940					STM4101
OG0004165		b3950					STM4113
OG0004166		b3951					STM4114
OG0004167		b3952					STM4115
OG0004168		b3953					STM4116
OG0004169		b3964					STM4128
OG0004170		b3990					STM4159
OG0004171		b3999					STM4169
OG0004172		b4001					STM4171
OG0004173		b4002					STM4172
OG0004174		b4021					STM4190
OG0004175		b4022					STM4193
OG0004176		b4023					STM4194
OG0004177		b4026					STM4222
OG0004178		b4036					STM4231
OG0004179		b4037					STM4232
OG0004180		b4039					STM4233
OG0004181		b4050					STM4244
OG0004182		b4055					STM4249
OG0004183		b4060					STM4263
OG0004184		b4070					STM4277
OG0004185		b4071					STM4278
OG0004186		b4074					STM4281
OG0004187		b4078					STM4284
OG0004188		b4092		PA3372			
OG0004189		b4094		PA3373			
OG0004190		b4095		PA3374			
OG0004191		b4096		PA3375			
OG0004192		b4098		PA3377			
OG0004193		b4099		PA3378			
OG0004194		b4100		PA3379			
OG0004195		b4101		PA3380			
OG0004196		b4112					STM4291
OG0004197		b4113					STM4292
OG0004198		b4123					STM4301
OG0004199		b4133					STM2557
OG0004200		b4145					STM4332
OG0004201		b4150		PA4110			
OG0004202		b4155					STM4344
OG0004203		b4156					STM4345
OG0004204		b4158					STM4346
OG0004205		b4183					STM4373
OG0004206		b4184					STM4374
OG0004207		b4185					STM4375
OG0004208		b4188					STM4378
OG0004209		b4189					STM4379
OG0004210		b4191					STM4381
OG0004211		b4192					STM4382
OG0004212		b4199					STM4389
OG0004213		b4201					STM4392
OG0004214		"b4204, b4325"					
OG0004215		b4206					STM4396
OG0004216		b4209					STM4399
OG0004217		b4210					STM4400
OG0004218		b4216					STM4405
OG0004219		b4217					STM4406
OG0004220		b4218					STM4407
OG0004221		b4237					STM4451
OG0004222		b4241					STM4455
OG0004223		b4246					STM4461
OG0004224		b4255					STM4470
OG0004225		b4300					STM1618
OG0004226		b4301					STM1617
OG0004227		b4302					STM1616
OG0004228		b4303					STM1615
OG0004229		b4307		PA0367a			
OG0004230		b4310					STM1130
OG0004231		b4326					STM3130
OG0004232		b4328					STM4512
OG0004233		b4329					STM4513
OG0004234		b4330					STM4514
OG0004235		b4331		PA0054			
OG0004236		b4337					STM4517
OG0004237		b4341					STM4521
OG0004238		b4347					STM4523
OG0004239		b4350					STM4526
OG0004240		b4359					STM4541
OG0004241		b4360					STM4542
OG0004242		b4363					STM4545
OG0004243		b4364					STM4546
OG0004244		b4365					STM4547
OG0004245		b4366					STM4548
OG0004246		b4367					STM4550
OG0004247		b4372					STM4557
OG0004248		b4377					STM4563
OG0004249		b4379					STM4565
OG0004250		b4380					STM4566
OG0004251		b4387					STM4577
OG0004252		b4393					STM4583
OG0004253		b4401					STM4598
OG0004254		b4402					STM4599
OG0004255		b4592					STM1794
OG0004256		b4618					STM3796B
OG0004257		b0258	Rv0071				
OG0004258		"b4723, b4724"					
OG0004259		"b4744, b4748"					
OG0004260		b4751					STM1829
OG0004261		b2941					STM3089
OG0004262		b2969		PA3096			
OG0004263		"b4795, b4795"					
OG0004264		b4821					STM4276
OG0004265		b1660					STM1428
OG0004266		b1874					STM1907
OG0004267		b4406					STM0238
OG0004268		b1831					STM1846
OG0004269		b3023					STM3175
OG0004270		b4470					STM3238
OG0004271		b3110					STM3239
OG0004272		b3283					STM3403
OG0004273		b4476					STM3541
OG0004274		b3530					STM3616
OG0004275		b3570					STM3663
OG0004276		b3572					STM3665
OG0004277		b3755					STM3888
OG0004278		b3790					STM3924
OG0004279		b4481					STM3927
OG0004280		b3825					STM3961
OG0004281		b4484					STM4060
OG0004282		b4097		PA3376			
